name,code,street,city,phone,npwp,mobile,fax,email,no_rek,is_company,supplier
"HOME CENTER INDONESIA, PT",SUPP172,Jl. Puri Kencana No.1 Kembangan Selatan,,,02.341.555.7-038.000,,,,,TRUE,TRUE
HONG KIE,SUPP173,Jl. Stasiun No. 28/30 Bandung,,022-4230937/4240826,,,022-4237161,,,TRUE,TRUE
"HONG LIE, PD",SUPP174,JL.Suniaraja no.60 Bandung,,022-4234161,,,022-4237016,,,TRUE,TRUE
HUGE TRADING CO (D/H HONG KIE),SUPP175,Jl. Suniaraja 75 Bandung,,022-4203825/4233352,,,022-4234794,,,TRUE,TRUE
IDOLA MOTOR SERVICE,SUPP176,Jl. Margacinta No. 33,,,,,,,,TRUE,TRUE
IDOLA TEKNIK,SUPP177,Jl. Margacinta No. 33 Bandung,,022-4563193/91682523,,,,,,TRUE,TRUE
"IGLAS, PT",SUPP178,JL.Jambu No. 18 Jakarta,,021-3101359,01.000.030.5-051.000,,021-3141293,,,TRUE,TRUE
"IMAS ASRI MULIA, PT",SUPP179,JL.Kunir 32 Blok A-11 Jakarta,,,,,,,,TRUE,TRUE
"IMAS ASRI MULIA, PT.",SUPP179 HKI,JL.Kunir 32 Blok A-11 Jakarta,,,,,,,,TRUE,TRUE
"IMAS ASRI MULIA, PT.",SUPP179 HKU,JL.Kunir 32 Blok A-11 Jakarta,,,,,,,,TRUE,TRUE
"IMAS ASRI MULIA, PT",SUPP179 USD,JL.Kunir 32 Blok A-11 Jakarta,,021-6913130,01.560.828.4-038.000,,021-6910659,,,TRUE,TRUE
"INCAP ALTIN UTAMA, PT",SUPP180,JL. Rajawali II no.9 Jakarta,,021-88320888,01.300.578.0-007.000,,021-88321361,,,TRUE,TRUE
INDAH JAYA (HAFANDI LIJAYA),SUPP181,Jl. Nyengseret No. 29 Bandung,,022-5404979,04.041.952.5-422.000,,022-5202046,,,TRUE,TRUE
"INDALIN, PD",SUPP182,JL. Kebon Jukut Ruko No. 3-B Bandung,,022-4219675/5206090,,,022-4230873,,,TRUE,TRUE
INDO ELECTRON JAYA,SUPP183,Jl. Psm Dalam No. 214 Kiara Condong Bandung,,022-70283031,,,022-7311692,,,TRUE,TRUE
INDO MARITIM ASIATIC,SUPP184,Jl. Batu Indah VII No. 42,,,,,,,,TRUE,TRUE
"INDO MARITIM ASIATIC, PT",SUPP184 USD,Jl. Batu Indah VII No. 42,Bandung,,,,,,,TRUE,TRUE
"INDOCAL LAB. SISTEM , PT",SUPP185,Jl. PHH Mustopa No. 39 Bandung,,022-87241432,02.008.918.1-429.000,,022-87241432,,,TRUE,TRUE
"INDOGEOTECH DARMA SOLUSI (IDS), PT",SUPP186,Jl. Haji Merin No. 1B Meruya Selatan,,,,,,,,TRUE,TRUE
"INDOGRAVURE, PT",SUPP187,Jl.Pahlawan No.8 Desa Rempoa Ciputat,,,01.000.742.5-415.000,,,,,TRUE,TRUE
"INDOKEMIKA JAYATAMA, PT",SUPP188,Jl. Raya Padalarang KM. 2 Kampung Simpang Desa Kertajaya Bandung,,022-6808537/6808538,01.328.570.5-007.000,,022-6808381,,,TRUE,TRUE
"INDOKEMIKA JAYATAMA,PT.",SUPP188 USD,Jl. Raya Padalarang KM. 2 Kampung Simpang Desa Kertajaya Bandung,,,,,,,,TRUE,TRUE
INDAH JAYA TEKNIK,SUPP189,,Bandung,,,,,,,TRUE,TRUE
"INDOPACK NUSANTARA, PT",SUPP190,Jl. Anggrek No. 57 Petukangan Utara Jakarta,,021-7355092,01.960.318.2-029.000,,021-7355148,www.indopack.com,,TRUE,TRUE
"INDOTECH SCIENTIFIC, PT",SUPP191,Jl. Raya Pondok Gede No. 5 Kramatjati,,,03.063.655.9-005.000,,,,,TRUE,TRUE
"INDOTECH SCIENTIFIC, PT",SUPP191 USD,Jl. Raya Pondok Gede No. 5 Kramatjati,,,,,,,,TRUE,TRUE
"TOKO NUR, PD",SUPP192,Jl.Haji Basar No 56A,Bandung,85351185101,,,,,,TRUE,TRUE
INDRAGRAHA NUSAPLASINDO,SUPP193,,,021-5981535-36,,,021-6328227,,,TRUE,TRUE
"INDUKSARANA KEMASINDO (ISKI), PT",SUPP194,Jl. Raya Prepedan II No. 11 Jakarta,,021-5551226-27,01.647.154.2-085.001,,021-55962822,,,TRUE,TRUE
"INDUSTRIAL MULTI FAN, PT",SUPP195,Jl. ABC B-3/No. 72 Banceuy Permai,,,02.321.234.3-038.000,,,,,TRUE,TRUE
"INFILTRACO MURNI, PT",SUPP196,Jl. Surya Utama A4 No. 4 Kebon Jeruk Jakarta Barat 11520,,021-5803283,01.333.772.0-038.000,,021-5806738,,,TRUE,TRUE
"INSAN SURYA PERSADA, PT",SUPP197,JL.P.Jayakarta 45 Blok A No. 21-22 Jakarta,,,,,,,,TRUE,TRUE
"INSAN SURYA PERSADA, PT",SUPP197 HKI,JL.P.Jayakarta 45 Blok A No. 21-22 Jakarta,,,,,,,,TRUE,TRUE
"INSAN SURYA PERSADA, PT.",SUPP197 HKU,JL.P.Jayakarta 45 Blok A No. 21-22 Jakarta,,,,,,,,TRUE,TRUE
"INSAN SURYA PERSADA, PT",SUPP197 USD,JL.P.Jayakarta 45 Blok A No. 21-22 Jakarta,,021-6007445,02.189.456.3-037.000,,021-6391027,,,TRUE,TRUE
"INTERGASTRA NUSANTARA, PT",SUPP198,Jl. P. Jayakarta 24/35,,021-6493880,,,021-6298649,,,TRUE,TRUE
"ISS SERVISYSTEM, PT",SUPP199,Komp. Putraco Gading regency Blok B No. 7 Jl. Soekarno-Hatta Bandung,,022-7316155,01.070.680.2-059.000,,022-7305578,,,TRUE,TRUE
"ISTANA Bandung RAYA MOTOR, PT",SUPP200,Jl. Cicendo No. 18,,,,,,,,TRUE,TRUE
ZAMZAM KOMPUTER,SUPP201,,Bandung,85776555089,,,,,,TRUE,TRUE
JABAR MOTOR,SUPP202,Jl. Gatot Subroto No. 15 Bandung,,022-7301964,,,,,,TRUE,TRUE
Jakarta SINERGI MULTIDIV,SUPP203,"Graha Selaras lt.4 Mampang, Prap Raya 9",,,,,,,,TRUE,TRUE
JATI MOTOR,SUPP204,Jl. Kebon Jati No. 26 Bandung,,022-4235447,,,022-4202860,,,TRUE,TRUE
JAYA BATTERY,SUPP205,Jl. Ibrahim Adji trs Kiaracondong 1,,,,,,,,TRUE,TRUE
"JAYA MAKMUR ABADI, CV",SUPP206,Perum Griya Shanta G-321 RT 05 RW 14 Malang,,031-8535105,01.949.391.5-652.000,,031-8706152,,,TRUE,TRUE
JAYA TEKNIK,SUPP207,Jl.Karapitan No.13,,,,,,,,TRUE,TRUE
JAYA MAKMUR MANDIRI CV,SUPP208,komp kopo mas regenvcy B9,Bandung,022-5436870,,,022-5436860,,,TRUE,TRUE
"JAYATAMA SELARAS, PT",SUPP209,"Jl. Raya Narogong, Kembang Kuning Dusun II Cilengsi Bogor",,021-8232168-69,02.142.006.2-431.000,,021-82492546,info@jayatama.com,,TRUE,TRUE
"JBS MAJU PRATAMA, PT",SUPP210,Jl. Kemuning No. 17,,,,,,,,TRUE,TRUE
"JERINDO SARI UTAMA, PT",SUPP211 USD,Jl. Cempaka Putih Raya C-20 Jakarta Pusat,,021-4200890,01.255.738.5-631.000,,021-4200889,,,TRUE,TRUE
JNE Bandung,SUPP212,Jl. Bahagia Permai Raya Kav 27,,,,,,,,TRUE,TRUE
JONAS PHOTO,SUPP213,Jl. Banda No. 38 Bandung,,,,,,,,TRUE,TRUE
"JUTARASA ABADI, PT",SUPP214,Jl. Babakan Jeruk III B No. 10 Bandung,,022-2009264,01.371.119.7-007.000,,022-2010191,,,TRUE,TRUE
"JUTARASA ABADI, PT",SUPP214 USD,Jl. Babakan Jeruk III B No. 10 Bandung,,,01.371.119.7-007.000,,,,,TRUE,TRUE
PUTRA JAYA PD,SUPP215,Jl Cigondewah Kidul,,81321295634,,,,,,TRUE,TRUE
"KAIROS TRITUNGGAL, PT",SUPP216,Jl. Raya Bekasi KM. 25 Menteng,Jakarta Timur,,,,,,,TRUE,TRUE
"KAIROS TRITUNGGAL, PT",SUPP216 USD,Ruko Inkopau Blk.A No.8-9 Jl. Raya Bekasi KM.25 Cakung Jakarta Timur,,021-46802216-19,21.042.942.9-007.000,,021-46802187,,,TRUE,TRUE
KANDAGA,SUPP217,,,,,,,,,TRUE,TRUE
"KANGAR CONSOLIDATED INDUSTRIES, PT",SUPP218,"Jl. Raya bekasi km. 24,5 Jakarta Timur",,021-46951000/46951055,01.000.602.1-052.000,,021-4600435,,,TRUE,TRUE
"KAPSULINDO NUSANTARA, PT",SUPP219,Gd. Elektrindo Lt. 5 Jl. Kuningan Barat No. 8 Jakarta Selatan,,021-8671164,01.060.278.7-431.000,,021-8671168,,,TRUE,TRUE
"KARSAVICTA SATYA, PT",SUPP220,Jl. Tanah Abang II No. 17 Jakarta,,021-29229868,01.547.817.5-073.000,,021-29229875,,,TRUE,TRUE
"KARUNIA JASINDO, PT",SUPP221,Jl. Jembatan Tiga Raya No. 36AG Jakarta,,021-6630353,02.239.430.8-415.000,,021-6611085,ali@karusindo.com,,TRUE,TRUE
"KARYA MANDIRI, CV",SUPP222,Bandung,,,,,,,,TRUE,TRUE
"KARYANA KEMASINDO PLASTIK, PT",SUPP223,"JL.Raya Bogor Km.29,6 Cimanggis Bogor",,021-8710252,01.241.567.5-412.000,,021-8726079,,,TRUE,TRUE
KAWAN LAMA,SUPP224,Jl. Pungkur No. 219 Bandung,,022-4213939/4213906,,,,,,TRUE,TRUE
"KAWAN LAMA SEJAHTERA, PT",SUPP225,Jl.Puri Kencana No:1 Kembangan Selatan,,,01.363.367.2-038.000,,,,,TRUE,TRUE
KENCANA PLASTIK /ANDREAS KAYUN,SUPP226,Jl. Industri V/149 Lik Km 4 Kaligawe Semarang,,024-6580843,,,024-6582531,,,TRUE,TRUE
KIKI JAYA MOTOR,SUPP227,Jl. Ciwastra No. 52-54 Bandung,,,,,,,,TRUE,TRUE
KIM HIEN,SUPP228,Jl. Banceuy No. 31 Bandung,,022-4237902,,,022-1238150,,,TRUE,TRUE
"KIMU ENAM KEMASINDO, PT",SUPP229,"Jl. Majalaya Km 1,5",,,,,,,,TRUE,TRUE
"KINAS GLOBAL INDONUSA, PT",SUPP230,Jl. Bouraglio Baru No. 33 Batu Sari Tangerang,,021-5581642/5581644,02.589.781.0-415.000,,021-5581666,,,TRUE,TRUE
"KOLOSAL PRATAMA, PT",SUPP231,"RUKO GRAHA MAS PEMUDA, BLOK AC NO. 15-16, JL. PEMUDA, Jakarta TIMUR",,,02.100.386.8-003.000,,,,,TRUE,TRUE
KRAMAT JAYA,SUPP232,Jl. Ahmad Yani Gg. Kramat Bandung,,022-7274194/7505359,,,,,,TRUE,TRUE
KREASINDO,SUPP233,Komp. Segitiga Emas,,,,,,,,TRUE,TRUE
"KROMTEKINDO UTAMA, PT",SUPP234,Jl. Palmerah Utara III/9 Jakarta 11480,,021-5308962,,,021-5307069,,,TRUE,TRUE
"KURNIA DUTA ELEKTRIK, PT",SUPP235,Jl. Peta Lingkar Selatan Komp. Jl. Peta Lingkar Selatan Komp. Ruko Kopo Plaza Blok A/28 Bandung,,022-6036263,21.068.145.8-422.000,,,,,TRUE,TRUE
"KURNIA PLASTIK, PT",SUPP236,Jl. Gardujati No. 3 Bandung,,022-60011631,,,022-6001631,,,TRUE,TRUE
KURNIA SERVICE KUNCI,SUPP237,Komp. Bunga Bakung No.9 Margacinta Bandung,,,,,,,,TRUE,TRUE
KUSUMA TEKNIK,SUPP238,Ps. Cikapundung Baru,,,,,,,,TRUE,TRUE
TOKO TAWAKAL,SUPP239,,Bandung,,,,,,,TRUE,TRUE
KYOWA HAKKO INDUSTRY (S) PTE,SUPP240,260 Orchad Road,,,,,,,,TRUE,TRUE
"LANGGENG KEMINDO GEMILANG, PT",SUPP241,Taman Kopo Indah III Blok D2-141 Bandung,,022-61012168,31.634.174.2-445.000,,022-5401045,,,TRUE,TRUE
"LANGGENG KEMINDO GEMILANG, PT",SUPP241 USD,Taman Kopo Indah III Blok D2-141 Bandung,,,,,,,,TRUE,TRUE
BUANA JAYA ALKESINDO PT,SUPP242,Jl.Chandra Kirana No 50,Bandung,85448537,,,,,,TRUE,TRUE
"LANGGENG, PD",SUPP243,Jl. ABC No. 78 Komp. Banceuy Bandung,,022-4234695,,,022-4236905,,,TRUE,TRUE
LAUTAN BAN,SUPP244,Jl. Astana Anyar No. 81 Bandung,,022-4204048/4203443,,,,,,TRUE,TRUE
LAUTAN LUAS,SUPP245,Jl. Jend. Sudirman No.757 Bandung,,022-6030590,01.315.900.9-054.000,,022-6030967,,,TRUE,TRUE
"LAWSIM ZECHA, PT",SUPP246,Jl. Kayu Jati Raya No. 1A Jakarta,,021-4752920,01.303.282.6-007.000,,021-4892659,,,TRUE,TRUE
LAWSIM ZECHA PT,SUPP246 USD,,,,,,,,,TRUE,TRUE
LENGKONG JAYA MOTOR,SUPP247,Jl. Lengkong Besar No. 48 Bandung,,022-4239962,,,,,,TRUE,TRUE
LESTARI OFFSET,SUPP248,Bandung,,,,,,,,TRUE,TRUE
LIMAS RAGA INTI,SUPP249,Jl. Emong No. 21 Bandung,,022-7300125,,,022-7300238,,,TRUE,TRUE
"LINTAS TEKNIK MANDIRI, CV",SUPP250,Jl. Adipati Kertamanah Dalam II/54,,,,,,,,TRUE,TRUE
"LOKANIA HANDAL PERDANA, PT",SUPP251,Duta Harapan Indah Blok OO NO. 30 Kapuk Jakarta 14460,,021-66694150,,,021-66694154,,,TRUE,TRUE
LUCA'S PRINTING,SUPP252,,,,,,,,,TRUE,TRUE
LUCA'S PRINTING,SUPP252 USD,Jl. Karang Anyar No. 26 Bandung,,022-4234426,,,022-4202814,,,TRUE,TRUE
"LUCAS TRANSMAMIN PERKASA, PT.",SUPP253,,,,,,,,,TRUE,TRUE
"LYHOCK PLAST, PT",SUPP254,"Jl. Raya Serang KM.18,8 Desa Sukanagara Tangerang 15710",,021-5963303,02.287.897.9-451.000,,021-5963305,,,TRUE,TRUE
MAESTRO PRINTING,SUPP255,BLOK KUPAT GG. MESJID NO.11 Bandung,,,02.749.841.9-422.000,,,,,TRUE,TRUE
MAJU MAKMUR,SUPP256,Jl. Ciroyom 59A Bandung,,,,,,,,TRUE,TRUE
PANCA LESTARI PRIMA MULYA PT,SUPP257,Jl.Soekarno Hatta No 136,Bandung,,,,,,,TRUE,TRUE
MAKTAL,SUPP258,Jl. Paralon I No. 20,,,,,,,,TRUE,TRUE
MANDIRI TEKNIK,SUPP259,Jl. ABC Ps. Cikapundung Baru LII,,,,,,,,TRUE,TRUE
"MARIN LIZA FARMASI, PT",SUPP260,Jl. Trs Kiaracondong 43 Bandung,,022-7566965/7501052,01.104.591.1-441.000,,022-7566965,,,TRUE,TRUE
"MARIN LIZA FARMASI, PT",SUPP260 USD,Jl. Trs Kiaracondong 43 Bandung,,,,,,,,TRUE,TRUE
MASIS EMBATAMA ENGINEERING,SUPP261,Cisaranten Wetan I No.143,,,,,,,,TRUE,TRUE
"MEDI FORTUNA, PT",SUPP262,Jl.Cendana No. 11A Bandung,,022-7271010,01.143.993.2-423.000,,022-7213406,,,TRUE,TRUE
"MEGA, PD",SUPP263,,,,,,,,,TRUE,TRUE
MEGAFUNINDO,SUPP264,Ps. Cikapundung,,,,,,,,TRUE,TRUE
"MEGARIA, PD",SUPP265,Jl. Kalipah Apo No. 17 Bandung,,022-4232900,,,022-4264562,,,TRUE,TRUE
"MEGASETIA AGUNG KIMIA, PT",SUPP266,Jl. Paradise Timur Raya F-21/58 Jakarta Timur,,021-6451037,01.744.272.4-046.000,,021-6452306,hendra.suhara@megasetia.com,,TRUE,TRUE
"MEGASETIA AGUNG KIMIA, PT",SUPP266 USD,Jl. Paradise Timur Raya F-21/58 Jakarta Timur,,,,,,,,TRUE,TRUE
MEKAR BARU,SUPP267,Jl. Banceuy No. 121 Bandung,,,,,,,,TRUE,TRUE
"MEKAR JAYA, UD",SUPP268,Jl. Mataram I No. 156,,,,,,,,TRUE,TRUE
MEKAR PRATAMA,SUPP269,Jl. Sudirman,,,,,,,,TRUE,TRUE
MEKAR PUTRA BAN,SUPP270,Jl. Dr. Cipto No. 5,,,,,,,,TRUE,TRUE
"MENJANGAN SAKTI, PT",SUPP271,Jl. Rasuna Said Kav. B-34 Kuningan Jakarta Selatan,,021-46824074,01.301.277.8-062.000,,021-5264943,ferry.gunardi@mensa.co.id,,TRUE,TRUE
"MENJANGAN SAKTI, PT",SUPP271 USD,Jl. Rasuna Said Kav. B-34 Kuningan Jakarta Selatan,,,01.301.277.8-062.000,,,,,TRUE,TRUE
"MENTARI, PD",SUPP272,JL. Banceuy No. 96,,,,,,,,TRUE,TRUE
"MERCK TBK, PT",SUPP273,Jl. T.B. Simatupang No. 8 Pasar Rebo Jakarta,,021-28565600,01.002.148.3-054.000,,021-28565603,,,TRUE,TRUE
"MEYTIV, PT",SUPP274,Ruko Sektor IV RF-28 BSD,,,,,,,,TRUE,TRUE
MITRA AC,SUPP275,Jl. Trs Pasir Koja No. 261,,,,,,,,TRUE,TRUE
"MITRA CHEMINDO UTAMA, PT",SUPP276,Jl. Gading Utama Barat No. 11 A,,,,,,,,TRUE,TRUE
"MITRA PACK, PT",SUPP277,Jl. P. Jayakarta 135 C 12-15 Jakarta,,021-6240171,01.969.856.2-073.000,,021-6258978,,,TRUE,TRUE
MITRA PACK PT,SUPP277 USD,Jl. PAngeran ,,,,,,,,TRUE,TRUE
"MITRA SELARAS ABADI, CV",SUPP278,"JL. RAYA CILEBUT TIMUR NO. 77 KEL.CILEBUT TIMUR, KEC. SUKARAJA,Bogor-JAWA BARAT",,,31.201.709.8-403.000,,,,,TRUE,TRUE
"MIURA INDONESIA, PT",SUPP279,Jl. HR.Rasuna Said Kav. 62,,,,,,,,TRUE,TRUE
MODULISA TEKNIK,SUPP280,Jl. Sarijati 1 No. 5 Bandung,,022-7531046,,,022-7801995,,,TRUE,TRUE
"MUGI, PT",SUPP281,Jl. H. Kurdi No.88 Moh. Toha Bandung,,022-5206233,01.308.570.9-062.000,,022-5206233,,,TRUE,TRUE
"MULTI ASRI PUSAKA SEJATI, PT",SUPP282,Jl. Darmo Permai Selatan V No. 47,,,01.822.788.4-618.000,,,,,TRUE,TRUE
"MULTI HASTA MAS, PT",SUPP283,Jl. Kasir No. 108 Desa Gempor Tangerang,,021-5904046,01.244.184.6-402.000,,021-5900615,,,TRUE,TRUE
MULTI RANTAI SUKSES,SUPP284,Jl. ABC Pasar Cikapundung,,,,,,,,TRUE,TRUE
MULTI SARANA TEKKINDO,SUPP285,Jl. Srimahi No. 10,,,,,,,,TRUE,TRUE
"MULTIBUANA CIPTA SEJAHTERA, PT",SUPP286,Jl. Wadaya Raya No. 67 Duren Sawit Jakarta timur,,021-86601482/86604994,02.371.626.9-008.000,,021-86601539,mcspt@indosat.net.id,,TRUE,TRUE
"MULTIBUANA CIPTA SEJAHTERA, PT",SUPP286 USD,Jl. Wadaya Raya No. 67 Duren Sawit Jakarta timur,,,,,,,,TRUE,TRUE
"MULTIREDJEKI KITA, PT",SUPP287,Jl. Kebayoran Lama No. 28,,,01.301.288.5-059.000,,,,,TRUE,TRUE
MUNCUL JAYA,SUPP288,,,,,,,,,TRUE,TRUE
MUTIARA KITCHEN,SUPP289,Jl. Soekarno-Hatta 497,,,,,,,,TRUE,TRUE
"MUTIARA, CV",SUPP290,"Komplek Industri,Jl.Kopo Jaya No.17 Bandung",,022-5400083,01.778.157.6-441.000,,022-5401177,,,TRUE,TRUE
"NARDA TITA, PT",SUPP291,Jl. Puri Kencana Kembangan Selatan Jakarta Pusat 11610,,021-58303475,01.362.674.2-038.000,,021-58303473,,,TRUE,TRUE
"NITA, PD",SUPP292,Jl. Trs. Kiara Condong (Dekat Samsat),,,,,,,,TRUE,TRUE
"NUSA INTERNASIONAL, PT",SUPP293,Kompleks Ruko Singgasana Pradana No. 55,,,02.366.520.1-441.000,,,,,TRUE,TRUE
"NUSA INTERNASIONAL, PT",SUPP293 USD,Kompleks Ruko Singgasana Pradana No. 55,,,,,,,,TRUE,TRUE
"NUSAPLAST, PT",SUPP294,Jl. Taman Kota Jaya Karta No. 12,,,02.464.533.5-418.000,,,,,TRUE,TRUE
"NUTRILAB PRATAMA, PT",SUPP295,Jl. Raya Kebayoran Lama 17D,,,02.289.876.1-013.000,,,,,TRUE,TRUE
OK BATERAI,SUPP296,Jl. Banceuy No. 70,,,,,,,,TRUE,TRUE
OMEGA BIRO TEKNIK,SUPP297,Jl.Martadinata No.130 Bandung,,022-4204102,,,022-7279753,,,TRUE,TRUE
"PACKINDO FARMA UTAMA, CV",SUPP298,Metro permata II Blok D8/18 Karang Tengah Jkt Barat,,021-53669206,02.041.838.0-086.000,,021-73440358,,,TRUE,TRUE
PADAJAYA MOTOR,SUPP299,,,,,,,,,TRUE,TRUE
PADASUKA MEUBEL,SUPP300,JL. Aceh 43 Bandung,,,,,,,,TRUE,TRUE
PADASUKA MOTOR,SUPP301,Jl. Banceuy No. 80 Bandung,,022-4237479/4235794,,,,,,TRUE,TRUE
"PAKET NUSANTARA, PT",SUPP302,Jl. Industri XX/BS-56,,,,,,,,TRUE,TRUE
"PANCARAN MULIA SEJATI, PT",SUPP303,"Jln. Raya Klari, K.p Krajan Gintungkerta",,,01.392.457.6-431.000,,,,,TRUE,TRUE
"PANCHA NUGRAHA, CV",SUPP304,Jl. Dr. Djunjunan,,,,,,,,TRUE,TRUE
"PANCURAN BERNUANSA MAS, PT",SUPP305,Jl. Kebon Jati No. 41 Komp. Luxor Permai,,,02.250.307.2-028.000,,,,,TRUE,TRUE
"PANDU SIWI SENTOSA, PT",SUPP306,"JL. RAYA BEKASI TIMUR KM.18 NO.30, JATINEGARA CAKUNG Jakarta TIMUR DKI Jakarta RAYA",,022-7323075,01.602.236.0-007.000,,022-7305167,,,TRUE,TRUE
"PANGAN LESTARI, PT",SUPP307,"Jl. Jati Raya Blok J1 No. 10B, CIkarang",,,01.233.603.8-641.000,,,,,TRUE,TRUE
"PARIT PADANG GLOBAL, PT",SUPP308,Jl. Rawa Sumur II Kav. BB No. 3 Jakarta,,021-46834411,02.998.520.7-007.000,,021-46831306,,,TRUE,TRUE
"PARIT PADANG GLOBAL, PT",SUPP308 USD,Jl. Rawa Sumur II Kav. BB No. 3 Jakarta,,,,,,,,TRUE,TRUE
PASAR CIKAPUNDUNG,SUPP309,Jl. Cikapundung Bandung,,,,,,,,TRUE,TRUE
"PATRA BUANA PUTRA, PT",SUPP310,Jl. Cigugur Tengah RT.001/010,,,02.761.307.4-441.000,,,,,TRUE,TRUE
"PANCA HARAPAN, PD",SUPP311,,,,,,,,,TRUE,TRUE
"PELITA ABADI SEJAHTERA, PT",SUPP312,"JL. CISARANTEN WETAN NO. 56 BABAKAN PENGHULU,CINAMBO Bandung",,,02.333.103.6-429.000,,,,,TRUE,TRUE
PEMASOK HANDUK BEKAS,SUPP313,Bandung,,,,,,,,TRUE,TRUE
"PEMBANGUNAN, PD",SUPP314,Jl. Jend. Sudirman no.96,,,,,,,,TRUE,TRUE
"PENTA VALENT, CV",SUPP315,JL.Surya Sumantri no.15,,,,,,,,TRUE,TRUE
"PETROLOG MULTI USAHA MANDIRI, PT",SUPP316,Jl. Sendi Kencana Blok C-9,,,,,,,,TRUE,TRUE
"PETROLOG MULTI USAHA MANDIRI, PT",SUPP316 SGD,Jl. Sendi Kencana Blok C-9,,,,,,,,TRUE,TRUE
PHARMA TEKNIK,SUPP317,"Jl. Dr. Setiabudi, Srondol Bumi Indah",,,,,,,,TRUE,TRUE
"PHARMEQ, PT",SUPP318,JL. Nanas No. 17-19,,,,,,,,TRUE,TRUE
POLAR REPRO GRAPHIC,SUPP319,Jl. Pungkur No. 131-129C Bandung,,022-4232484,,,022-4231525,,,TRUE,TRUE
"POLARIS ELDACO, PT",SUPP320,,,,02.589.643.2-085.000,,,,,TRUE,TRUE
"PRAJA ELTU ENGINEERING, PT.",SUPP321 HKI,Jl. Boulevard Gading Raya Blok AA3 No. 37 Serpong Tangerang,,,,,,,,TRUE,TRUE
"PRAMBANAN KENCANA, PT",SUPP322,jl. Tanah Abang 2 No. 36 Petojo Selatan Jkt Pusat 10160,,021-3810380,,,021-3810344,Industry@prb.co.id,,TRUE,TRUE
PRAMTAMA,SUPP323,,,,,,,,,TRUE,TRUE
"PRATAPA NIRMALA, PT",SUPP324,Jl. Raden Saleh No. 4,,,01.302.575.4-073.000,,,,,TRUE,TRUE
"PRIDHANA EKA, PT",SUPP325,Jl. Cibadak No. 215 Bandung,,022-6031991,01.118.330.8-422.000,,022-6034845,,,TRUE,TRUE
"PRIMA MEDICHA , CV",SUPP326,Jl. Tubagus Ismail Raya No. 10A Bandung,,022-2532413,,,,,,TRUE,TRUE
PRIMA PRINTER,SUPP327,Jl. Margacinta 50 Buahbatu,,,,,,,,TRUE,TRUE
PRIMA TEKNIK,SUPP328,Jl. ABC Cikapundung Electronic Center,,,,,,,,TRUE,TRUE
"PRINTECHNINDO RAYA UTAMA, PT",SUPP329,Jl. Jababeka XVII B SIB Blok U7J Kaw. Industri Cikarang Bekasi,,021-89111247,02.270.793.9-046.000,,021-89111248,,,TRUE,TRUE
"PRINTECHNINDO RAYA UTAMA, PT",SUPP329 SGD,Jl. Jababeka XVII B SIB Blok U7J Kaw. Industri Cikarang Bekasi,,,,,,,,TRUE,TRUE
PRISMA TEKNIK MANDIRI,SUPP330,Spare part & Maintenance,,,31.568.161.9-422.000,,,,,TRUE,TRUE
PRISMA TEKNIK MANDIRI,SUPP330 HKI,Spare part & Maintenance,,,,,,,,TRUE,TRUE
"PRISMA TEKNIK MANDIRI, CV",SUPP330 USD,Jl. Nana Rohana No. 51/82,Bandung,,,,,,,TRUE,TRUE
INDOFA UTAMA MULTI CORE PT,SUPP331,Jl.Mawar No 27-29 Rt.03 Rw.03,Surabaya,,,,,,,TRUE,TRUE
PUSAKA,SUPP332,Jl. Jend. A. Yani 108,,,,,,,,TRUE,TRUE
"PUSAKA, PD",SUPP333,Jl. Sunda 35 Bandung,,022-4232416,,,022-7312848,,,TRUE,TRUE
"PUTRA ANGKASA, CV",SUPP334,Jl. Jend Sudirman,,,01.448.244.2-422.000,,,,,TRUE,TRUE
"PYURI INTI PERSADA, CV",SUPP335,Puri Cipageran Indah II Blok C10 No. 3B,,,,,,,,TRUE,TRUE
"QWINJAYA ADITAMA, PT",SUPP336,"KOMP.PERTOKOAN GREEN GARDEN BLOK A-7/6,KEDOYA UTARA,KEBON JERUK,Jakarta 11520",,,02.751.136.9-039.000,,,nurdin.wijaya@qwinjaya.com,,TRUE,TRUE
QWORDS.COM,SUPP337,Jl. Cisitu Lama No. 48 Bandung,,,,,,,,TRUE,TRUE
"RAJAWALI NUSINDO, PT",SUPP338,Jl. Soekarno hatta,,,,,,,,TRUE,TRUE
"RAMDAN FAMILI, PD",SUPP339,Batas Cijerah Cigondewah Kaler,,,,,,,,TRUE,TRUE
"RANTAI SUKSES, PD",SUPP340,Jl. ABC Pasar Cikapundung Bandung,,022-4200458,,,,,,TRUE,TRUE
RAPIDO,SUPP341,Jl. Melong kaler no. 3,,,,,,,,TRUE,TRUE
RKM,SUPP342,Jl. Ahmad Yani Bandung,,022-7277108,,,,,,TRUE,TRUE
"RONADAMAR SEJAHTERA, PT",SUPP343,Jl. Kopo Cirangrang No. 12 A Bandung,,022-5400179,01.338.704.8-007.000,,022-5400372,,,TRUE,TRUE
RSU PINDAD,SUPP344,Jl. Jend. Gatot Subroto No. 517 Bandung,,,01.061.394.1-051.000,,,,,TRUE,TRUE
SAINGAN,SUPP345,PS. CIKAPUNDUNG,,,,,,,,TRUE,TRUE
