"id","name","comment","street","city","phone","npwp","mobile","fax","email","no_rek","is_company","supplier","category_id"
"res_partner_1780","FLUIDA TEKNIKA","SUPP151 HKU","Jl. Kebayoran Lama 16 3rd Floor Jakarta 12210",,,,,,,,"TRUE","TRUE",
"res_partner_1790","FLUIDA TEKNIKA, PT","SUPP151 USD","Jl. Kebayoran Lama 16 3rd Floor Jakarta 12210",,"021-53678971-2","02.290.004.7-013.000",,"021-53675889",,,"TRUE","TRUE",
"res_partner_1800","GALA LAKSANA KREASI, PT","SUPP152","Jl. Dr. Saharjo No. 96",,,"01.770.659.9-048.000",,,,,"TRUE","TRUE",
"res_partner_1810","GALA LAKSANA KREASI, PT.","SUPP152 USD","Jl. Dr. Saharjo No. 96",,,"01.770.659.9-048.000",,,,,"TRUE","TRUE",
"res_partner_1820","TOKO DOA IBU","SUPP153","Jl.Belakang Pasar No 90","Bandung","022-4218273",,,,,,"TRUE","TRUE",
"res_partner_1830","GANESHA SAKTI ABADI, PT","SUPP154","Jl. Tanjung Duren Barat Raya No. 87 Jakarta Barat 11470",,"021-56943918-19-20","02.245.779.0-003.000",,"021-5673051",,,"TRUE","TRUE",
"res_partner_1840","GLOBAL CHEMINDO MEGATRADING, PT","SUPP155","Jl. Pulo Kambing Raya Kav. IIE No.8 Cakung Jakarta Timur",,"021-46830028","02.313.070.1-007.000",,"021-46836167",,,"TRUE","TRUE",
"res_partner_1850","GLOBAL CHEMINDO MEGATRADING, PT","SUPP155 USD","Jl. Pulo Kambing Raya Kav. IIE No.8 Cakung Jakarta Timur",,,,,,,,"TRUE","TRUE",
"res_partner_1860","ANEVA BARAYA CV","SUPP156","Jl.Cibuntu Salam RT.18 Rw.08","Bekasi","021-87920989",,,"021-87920989",,,"TRUE","TRUE",
"res_partner_1870","GLOBAL QUALITY INDONESIA, PT","SUPP157","Kopo Mas Regency Blok N 7C Bandung",,"022-5436533","01.983.801.0-422.000",,"022-5436637",,,"TRUE","TRUE",
"res_partner_1880","GRATIA TIFARINDO, CV","SUPP158","Komp. Griya Bandung Indah",,,,,,,,"TRUE","TRUE",
"res_partner_1890","GUNUNG CENDANA PERSADA, PT","SUPP159","Jl. Pakin No. 2 A-B",,,"02.379.489.4-047.000",,,,,"TRUE","TRUE",
"res_partner_1900","HANNA INSTRUMENT INDOTAMA, PT","SUPP160","Jl. Penyu No. 6 Buahbatu Bandung",,"022-7830364","01.673.823.9-043.000",,,,,"TRUE","TRUE",
"res_partner_1910","HANS PUTRA MANDIRI, CV","SUPP161","Jl. Setra Murni Tengah No.6 Bandung",,"022-6036355/60853592",,,"022-60880285",,,"TRUE","TRUE",
"res_partner_1920","HARAPAN JAYA, PD","SUPP162","Jl. Banceuy Bandung",,"022-4235976",,,,,,"TRUE","TRUE",
"res_partner_1930","HARISMA AGUNG Bandung, PT","SUPP163","Jl. Sunda No. 37 Bandung 40112",,"022-4210800/4264500",,,"022-4213413",,,"TRUE","TRUE",
"res_partner_1940","HARTECH INDONESIA, PT","SUPP164","Jl. Pancaran Timur No. 1A Jakarta Selatan 12780",,"021-7994307","01.310.516.8-061.000",,"021-7989307",,,"TRUE","TRUE",
"res_partner_1950","HASAN SADIKIN (IBU TUTI)","SUPP165",,,,,,,,,"TRUE","TRUE",
"res_partner_1960","HASTA LUHUR","SUPP166","Jl. Gedebage Bandung",,"022-7816666",,,"022-7813721",,,"TRUE","TRUE",
"res_partner_1970","HELAU FILTER","SUPP167","Jl. Gempol Elok I No.34 Cijerah Bandung",,"022-70568820",,,"022-86066141",,,"TRUE","TRUE",
"res_partner_1980","HENDRO SAPUTRO","SUPP168","Graha Raya Bintaro Jaya Blok.G 10/3B Tengerang 15324",,"021-53125942",,,"021-53126169",,,"TRUE","TRUE",
"res_partner_1990","HERMON PANCAKARSA(LIBRATAMA), PT","SUPP169","Jl. Guntur Sari No. 14 Bandung",,"022-7307575",,,"022-7305884",,,"TRUE","TRUE",
"res_partner_2000","HERRY ALTER'S","SUPP170","Jl. Moh Toha Komp. Ruko Kurdi No. 25 Bandung",,"022-5204961/5223549",,,"022-5229960",,,"TRUE","TRUE",
"res_partner_2010","HEXINDO GLOBAL, PT","SUPP171","Jl. Plaza Amsterdam Blok D no. 8 Bogor",,"021-82568884","31.425.761.9-403.000",,"021-87962880",,,"TRUE","TRUE",
"res_partner_2020","HOME CENTER INDONESIA, PT","SUPP172","Jl. Puri Kencana No.1 Kembangan Selatan",,,"02.341.555.7-038.000",,,,,"TRUE","TRUE",
"res_partner_2030","HONG KIE","SUPP173","Jl. Stasiun No. 28/30 Bandung",,"022-4230937/4240826",,,"022-4237161",,,"TRUE","TRUE",
"res_partner_2040","HONG LIE, PD","SUPP174","JL.Suniaraja no.60 Bandung",,"022-4234161",,,"022-4237016",,,"TRUE","TRUE",
"res_partner_2050","HUGE TRADING CO (D/H HONG KIE)","SUPP175","Jl. Suniaraja 75 Bandung",,"022-4203825/4233352",,,"022-4234794",,,"TRUE","TRUE",
"res_partner_2060","IDOLA MOTOR SERVICE","SUPP176","Jl. Margacinta No. 33",,,,,,,,"TRUE","TRUE",
"res_partner_2070","IDOLA TEKNIK","SUPP177","Jl. Margacinta No. 33 Bandung",,"022-4563193/91682523",,,,,,"TRUE","TRUE",
"res_partner_2080","IGLAS, PT","SUPP178","JL.Jambu No. 18 Jakarta",,"021-3101359","01.000.030.5-051.000",,"021-3141293",,,"TRUE","TRUE",
"res_partner_2090","IMAS ASRI MULIA, PT","SUPP179","JL.Kunir 32 Blok A-11 Jakarta",,,,,,,,"TRUE","TRUE",
"res_partner_2100","IMAS ASRI MULIA, PT.","SUPP179 HKI","JL.Kunir 32 Blok A-11 Jakarta",,,,,,,,"TRUE","TRUE",
"res_partner_2110","IMAS ASRI MULIA, PT.","SUPP179 HKU","JL.Kunir 32 Blok A-11 Jakarta",,,,,,,,"TRUE","TRUE",
"res_partner_2120","IMAS ASRI MULIA, PT","SUPP179 USD","JL.Kunir 32 Blok A-11 Jakarta",,"021-6913130","01.560.828.4-038.000",,"021-6910659",,,"TRUE","TRUE",
"res_partner_2130","INCAP ALTIN UTAMA, PT","SUPP180","JL. Rajawali II no.9 Jakarta",,"021-88320888","01.300.578.0-007.000",,"021-88321361",,,"TRUE","TRUE",
"res_partner_2140","INDAH JAYA (HAFANDI LIJAYA)","SUPP181","Jl. Nyengseret No. 29 Bandung",,"022-5404979","04.041.952.5-422.000",,"022-5202046",,,"TRUE","TRUE",
"res_partner_2150","INDALIN, PD","SUPP182","JL. Kebon Jukut Ruko No. 3-B Bandung",,"022-4219675/5206090",,,"022-4230873",,,"TRUE","TRUE",
"res_partner_2160","INDO ELECTRON JAYA","SUPP183","Jl. Psm Dalam No. 214 Kiara Condong Bandung",,"022-70283031",,,"022-7311692",,,"TRUE","TRUE",
"res_partner_2170","INDO MARITIM ASIATIC","SUPP184","Jl. Batu Indah VII No. 42",,,,,,,,"TRUE","TRUE",
"res_partner_2180","INDO MARITIM ASIATIC, PT","SUPP184 USD","Jl. Batu Indah VII No. 42","Bandung",,,,,,,"TRUE","TRUE",
"res_partner_2190","INDOCAL LAB. SISTEM , PT","SUPP185","Jl. PHH Mustopa No. 39 Bandung",,"022-87241432","02.008.918.1-429.000",,"022-87241432",,,"TRUE","TRUE",
"res_partner_2200","INDOGEOTECH DARMA SOLUSI (IDS), PT","SUPP186","Jl. Haji Merin No. 1B Meruya Selatan",,,,,,,,"TRUE","TRUE",
"res_partner_2210","INDOGRAVURE, PT","SUPP187","Jl.Pahlawan No.8 Desa Rempoa Ciputat",,,"01.000.742.5-415.000",,,,,"TRUE","TRUE",
"res_partner_2220","INDOKEMIKA JAYATAMA, PT","SUPP188","Jl. Raya Padalarang KM. 2 Kampung Simpang Desa Kertajaya Bandung",,"022-6808537/6808538","01.328.570.5-007.000",,"022-6808381",,,"TRUE","TRUE",
"res_partner_2230","INDOKEMIKA JAYATAMA,PT.","SUPP188 USD","Jl. Raya Padalarang KM. 2 Kampung Simpang Desa Kertajaya Bandung",,,,,,,,"TRUE","TRUE",
"res_partner_2240","INDAH JAYA TEKNIK","SUPP189",,"Bandung",,,,,,,"TRUE","TRUE",
"res_partner_2250","INDOPACK NUSANTARA, PT","SUPP190","Jl. Anggrek No. 57 Petukangan Utara Jakarta",,"021-7355092","01.960.318.2-029.000",,"021-7355148","www.indopack.com",,"TRUE","TRUE",
"res_partner_2260","INDOTECH SCIENTIFIC, PT","SUPP191","Jl. Raya Pondok Gede No. 5 Kramatjati",,,"03.063.655.9-005.000",,,,,"TRUE","TRUE",
"res_partner_2270","INDOTECH SCIENTIFIC, PT","SUPP191 USD","Jl. Raya Pondok Gede No. 5 Kramatjati",,,,,,,,"TRUE","TRUE",
"res_partner_2280","TOKO NUR, PD","SUPP192","Jl.Haji Basar No 56A","Bandung",85351185101,,,,,,"TRUE","TRUE",
"res_partner_2290","INDRAGRAHA NUSAPLASINDO","SUPP193",,,"021-5981535-36",,,"021-6328227",,,"TRUE","TRUE",
"res_partner_2300","INDUKSARANA KEMASINDO (ISKI), PT","SUPP194","Jl. Raya Prepedan II No. 11 Jakarta",,"021-5551226-27","01.647.154.2-085.001",,"021-55962822",,,"TRUE","TRUE",
"res_partner_2310","INDUSTRIAL MULTI FAN, PT","SUPP195","Jl. ABC B-3/No. 72 Banceuy Permai",,,"02.321.234.3-038.000",,,,,"TRUE","TRUE",
"res_partner_2320","INFILTRACO MURNI, PT","SUPP196","Jl. Surya Utama A4 No. 4 Kebon Jeruk Jakarta Barat 11520",,"021-5803283","01.333.772.0-038.000",,"021-5806738",,,"TRUE","TRUE",
"res_partner_2330","INSAN SURYA PERSADA, PT","SUPP197","JL.P.Jayakarta 45 Blok A No. 21-22 Jakarta",,,,,,,,"TRUE","TRUE",
"res_partner_2340","INSAN SURYA PERSADA, PT","SUPP197 HKI","JL.P.Jayakarta 45 Blok A No. 21-22 Jakarta",,,,,,,,"TRUE","TRUE",
"res_partner_2350","INSAN SURYA PERSADA, PT.","SUPP197 HKU","JL.P.Jayakarta 45 Blok A No. 21-22 Jakarta",,,,,,,,"TRUE","TRUE",
"res_partner_2360","INSAN SURYA PERSADA, PT","SUPP197 USD","JL.P.Jayakarta 45 Blok A No. 21-22 Jakarta",,"021-6007445","02.189.456.3-037.000",,"021-6391027",,,"TRUE","TRUE",
"res_partner_2370","INTERGASTRA NUSANTARA, PT","SUPP198","Jl. P. Jayakarta 24/35",,"021-6493880",,,"021-6298649",,,"TRUE","TRUE",
"res_partner_2380","ISS SERVISYSTEM, PT","SUPP199","Komp. Putraco Gading regency Blok B No. 7 Jl. Soekarno-Hatta Bandung",,"022-7316155","01.070.680.2-059.000",,"022-7305578",,,"TRUE","TRUE",
"res_partner_2390","ISTANA Bandung RAYA MOTOR, PT","SUPP200","Jl. Cicendo No. 18",,,,,,,,"TRUE","TRUE",
"res_partner_2400","ZAMZAM KOMPUTER","SUPP201",,"Bandung",85776555089,,,,,,"TRUE","TRUE",
"res_partner_2410","JABAR MOTOR","SUPP202","Jl. Gatot Subroto No. 15 Bandung",,"022-7301964",,,,,,"TRUE","TRUE",
"res_partner_2420","Jakarta SINERGI MULTIDIV","SUPP203","Graha Selaras lt.4 Mampang, Prap Raya 9",,,,,,,,"TRUE","TRUE",
"res_partner_2430","JATI MOTOR","SUPP204","Jl. Kebon Jati No. 26 Bandung",,"022-4235447",,,"022-4202860",,,"TRUE","TRUE",
"res_partner_2440","JAYA BATTERY","SUPP205","Jl. Ibrahim Adji trs Kiaracondong 1",,,,,,,,"TRUE","TRUE",
"res_partner_2450","JAYA MAKMUR ABADI, CV","SUPP206","Perum Griya Shanta G-321 RT 05 RW 14 Malang",,"031-8535105","01.949.391.5-652.000",,"031-8706152",,,"TRUE","TRUE",
"res_partner_2460","JAYA TEKNIK","SUPP207","Jl.Karapitan No.13",,,,,,,,"TRUE","TRUE",
"res_partner_2470","JAYA MAKMUR MANDIRI CV","SUPP208","komp kopo mas regenvcy B9","Bandung","022-5436870",,,"022-5436860",,,"TRUE","TRUE",
"res_partner_2480","JAYATAMA SELARAS, PT","SUPP209","Jl. Raya Narogong, Kembang Kuning Dusun II Cilengsi Bogor",,"021-8232168-69","02.142.006.2-431.000",,"021-82492546","info@jayatama.com",,"TRUE","TRUE",
"res_partner_2490","JBS MAJU PRATAMA, PT","SUPP210","Jl. Kemuning No. 17",,,,,,,,"TRUE","TRUE",
"res_partner_2500","JERINDO SARI UTAMA, PT","SUPP211 USD","Jl. Cempaka Putih Raya C-20 Jakarta Pusat",,"021-4200890","01.255.738.5-631.000",,"021-4200889",,,"TRUE","TRUE",
"res_partner_2510","JNE Bandung","SUPP212","Jl. Bahagia Permai Raya Kav 27",,,,,,,,"TRUE","TRUE",
"res_partner_2520","JONAS PHOTO","SUPP213","Jl. Banda No. 38 Bandung",,,,,,,,"TRUE","TRUE",
"res_partner_2530","JUTARASA ABADI, PT","SUPP214","Jl. Babakan Jeruk III B No. 10 Bandung",,"022-2009264","01.371.119.7-007.000",,"022-2010191",,,"TRUE","TRUE",
"res_partner_2540","JUTARASA ABADI, PT","SUPP214 USD","Jl. Babakan Jeruk III B No. 10 Bandung",,,"01.371.119.7-007.000",,,,,"TRUE","TRUE",
"res_partner_2550","PUTRA JAYA PD","SUPP215","Jl Cigondewah Kidul",,81321295634,,,,,,"TRUE","TRUE",
"res_partner_2560","KAIROS TRITUNGGAL, PT","SUPP216","Jl. Raya Bekasi KM. 25 Menteng","Jakarta Timur",,,,,,,"TRUE","TRUE",
"res_partner_2570","KAIROS TRITUNGGAL, PT","SUPP216 USD","Ruko Inkopau Blk.A No.8-9 Jl. Raya Bekasi KM.25 Cakung Jakarta Timur",,"021-46802216-19","21.042.942.9-007.000",,"021-46802187",,,"TRUE","TRUE",
"res_partner_2580","KANDAGA","SUPP217",,,,,,,,,"TRUE","TRUE",
"res_partner_2590","KANGAR CONSOLIDATED INDUSTRIES, PT","SUPP218","Jl. Raya bekasi km. 24,5 Jakarta Timur",,"021-46951000/46951055","01.000.602.1-052.000",,"021-4600435",,,"TRUE","TRUE",
"res_partner_2600","KAPSULINDO NUSANTARA, PT","SUPP219","Gd. Elektrindo Lt. 5 Jl. Kuningan Barat No. 8 Jakarta Selatan",,"021-8671164","01.060.278.7-431.000",,"021-8671168",,,"TRUE","TRUE",
"res_partner_2610","KARSAVICTA SATYA, PT","SUPP220","Jl. Tanah Abang II No. 17 Jakarta",,"021-29229868","01.547.817.5-073.000",,"021-29229875",,,"TRUE","TRUE",
"res_partner_2620","KARUNIA JASINDO, PT","SUPP221","Jl. Jembatan Tiga Raya No. 36AG Jakarta",,"021-6630353","02.239.430.8-415.000",,"021-6611085","ali@karusindo.com",,"TRUE","TRUE",
"res_partner_2630","KARYA MANDIRI, CV","SUPP222","Bandung",,,,,,,,"TRUE","TRUE",
"res_partner_2640","KARYANA KEMASINDO PLASTIK, PT","SUPP223","JL.Raya Bogor Km.29,6 Cimanggis Bogor",,"021-8710252","01.241.567.5-412.000",,"021-8726079",,,"TRUE","TRUE",
"res_partner_2650","KAWAN LAMA","SUPP224","Jl. Pungkur No. 219 Bandung",,"022-4213939/4213906",,,,,,"TRUE","TRUE",
"res_partner_2660","KAWAN LAMA SEJAHTERA, PT","SUPP225","Jl.Puri Kencana No:1 Kembangan Selatan",,,"01.363.367.2-038.000",,,,,"TRUE","TRUE",
"res_partner_2670","KENCANA PLASTIK /ANDREAS KAYUN","SUPP226","Jl. Industri V/149 Lik Km 4 Kaligawe Semarang",,"024-6580843",,,"024-6582531",,,"TRUE","TRUE",
"res_partner_2680","KIKI JAYA MOTOR","SUPP227","Jl. Ciwastra No. 52-54 Bandung",,,,,,,,"TRUE","TRUE",
"res_partner_2690","KIM HIEN","SUPP228","Jl. Banceuy No. 31 Bandung",,"022-4237902",,,"022-1238150",,,"TRUE","TRUE",
"res_partner_2700","KIMU ENAM KEMASINDO, PT","SUPP229","Jl. Majalaya Km 1,5",,,,,,,,"TRUE","TRUE",
"res_partner_2710","KINAS GLOBAL INDONUSA, PT","SUPP230","Jl. Bouraglio Baru No. 33 Batu Sari Tangerang",,"021-5581642/5581644","02.589.781.0-415.000",,"021-5581666",,,"TRUE","TRUE",
"res_partner_2720","KOLOSAL PRATAMA, PT","SUPP231","RUKO GRAHA MAS PEMUDA, BLOK AC NO. 15-16, JL. PEMUDA, Jakarta TIMUR",,,"02.100.386.8-003.000",,,,,"TRUE","TRUE",
"res_partner_2730","KRAMAT JAYA","SUPP232","Jl. Ahmad Yani Gg. Kramat Bandung",,"022-7274194/7505359",,,,,,"TRUE","TRUE",
"res_partner_2740","KREASINDO","SUPP233","Komp. Segitiga Emas",,,,,,,,"TRUE","TRUE",
"res_partner_2750","KROMTEKINDO UTAMA, PT","SUPP234","Jl. Palmerah Utara III/9 Jakarta 11480",,"021-5308962",,,"021-5307069",,,"TRUE","TRUE",
"res_partner_2760","KURNIA DUTA ELEKTRIK, PT","SUPP235","Jl. Peta Lingkar Selatan Komp. Jl. Peta Lingkar Selatan Komp. Ruko Kopo Plaza Blok A/28 Bandung",,"022-6036263","21.068.145.8-422.000",,,,,"TRUE","TRUE",
"res_partner_2770","KURNIA PLASTIK, PT","SUPP236","Jl. Gardujati No. 3 Bandung",,"022-60011631",,,"022-6001631",,,"TRUE","TRUE",
"res_partner_2780","KURNIA SERVICE KUNCI","SUPP237","Komp. Bunga Bakung No.9 Margacinta Bandung",,,,,,,,"TRUE","TRUE",
"res_partner_2790","KUSUMA TEKNIK","SUPP238","Ps. Cikapundung Baru",,,,,,,,"TRUE","TRUE",
"res_partner_2800","TOKO TAWAKAL","SUPP239",,"Bandung",,,,,,,"TRUE","TRUE",
"res_partner_2810","KYOWA HAKKO INDUSTRY (S) PTE","SUPP240","260 Orchad Road",,,,,,,,"TRUE","TRUE",
"res_partner_2820","LANGGENG KEMINDO GEMILANG, PT","SUPP241","Taman Kopo Indah III Blok D2-141 Bandung",,"022-61012168","31.634.174.2-445.000",,"022-5401045",,,"TRUE","TRUE",
"res_partner_2830","LANGGENG KEMINDO GEMILANG, PT","SUPP241 USD","Taman Kopo Indah III Blok D2-141 Bandung",,,,,,,,"TRUE","TRUE",
"res_partner_2840","BUANA JAYA ALKESINDO PT","SUPP242","Jl.Chandra Kirana No 50","Bandung",85448537,,,,,,"TRUE","TRUE",
"res_partner_2850","LANGGENG, PD","SUPP243","Jl. ABC No. 78 Komp. Banceuy Bandung",,"022-4234695",,,"022-4236905",,,"TRUE","TRUE",
"res_partner_2860","LAUTAN BAN","SUPP244","Jl. Astana Anyar No. 81 Bandung",,"022-4204048/4203443",,,,,,"TRUE","TRUE",
"res_partner_2870","LAUTAN LUAS","SUPP245","Jl. Jend. Sudirman No.757 Bandung",,"022-6030590","01.315.900.9-054.000",,"022-6030967",,,"TRUE","TRUE",
"res_partner_2880","LAWSIM ZECHA, PT","SUPP246","Jl. Kayu Jati Raya No. 1A Jakarta",,"021-4752920","01.303.282.6-007.000",,"021-4892659",,,"TRUE","TRUE",
"res_partner_2890","LAWSIM ZECHA PT","SUPP246 USD",,,,,,,,,"TRUE","TRUE",
"res_partner_2900","LENGKONG JAYA MOTOR","SUPP247","Jl. Lengkong Besar No. 48 Bandung",,"022-4239962",,,,,,"TRUE","TRUE",
"res_partner_2910","LESTARI OFFSET","SUPP248","Bandung",,,,,,,,"TRUE","TRUE",
"res_partner_2920","LIMAS RAGA INTI","SUPP249","Jl. Emong No. 21 Bandung",,"022-7300125",,,"022-7300238",,,"TRUE","TRUE",
"res_partner_2930","LINTAS TEKNIK MANDIRI, CV","SUPP250","Jl. Adipati Kertamanah Dalam II/54",,,,,,,,"TRUE","TRUE",
"res_partner_2940","LOKANIA HANDAL PERDANA, PT","SUPP251","Duta Harapan Indah Blok OO NO. 30 Kapuk Jakarta 14460",,"021-66694150",,,"021-66694154",,,"TRUE","TRUE",
"res_partner_2950","LUCA'S PRINTING","SUPP252",,,,,,,,,"TRUE","TRUE",
"res_partner_2960","LUCA'S PRINTING","SUPP252 USD","Jl. Karang Anyar No. 26 Bandung",,"022-4234426",,,"022-4202814",,,"TRUE","TRUE",
"res_partner_2970","LUCAS TRANSMAMIN PERKASA, PT.","SUPP253",,,,,,,,,"TRUE","TRUE",
"res_partner_2980","LYHOCK PLAST, PT","SUPP254","Jl. Raya Serang KM.18,8 Desa Sukanagara Tangerang 15710",,"021-5963303","02.287.897.9-451.000",,"021-5963305",,,"TRUE","TRUE",
"res_partner_2990","MAESTRO PRINTING","SUPP255","BLOK KUPAT GG. MESJID NO.11 Bandung",,,"02.749.841.9-422.000",,,,,"TRUE","TRUE",
"res_partner_3000","MAJU MAKMUR","SUPP256","Jl. Ciroyom 59A Bandung",,,,,,,,"TRUE","TRUE",
"res_partner_3010","PANCA LESTARI PRIMA MULYA PT","SUPP257","Jl.Soekarno Hatta No 136","Bandung",,,,,,,"TRUE","TRUE",
"res_partner_3020","MAKTAL","SUPP258","Jl. Paralon I No. 20",,,,,,,,"TRUE","TRUE",
"res_partner_3030","MANDIRI TEKNIK","SUPP259","Jl. ABC Ps. Cikapundung Baru LII",,,,,,,,"TRUE","TRUE",
"res_partner_3040","MARIN LIZA FARMASI, PT","SUPP260","Jl. Trs Kiaracondong 43 Bandung",,"022-7566965/7501052","01.104.591.1-441.000",,"022-7566965",,,"TRUE","TRUE",
"res_partner_3050","MARIN LIZA FARMASI, PT","SUPP260 USD","Jl. Trs Kiaracondong 43 Bandung",,,,,,,,"TRUE","TRUE",
"res_partner_3060","MASIS EMBATAMA ENGINEERING","SUPP261","Cisaranten Wetan I No.143",,,,,,,,"TRUE","TRUE",
"res_partner_3070","MEDI FORTUNA, PT","SUPP262","Jl.Cendana No. 11A Bandung",,"022-7271010","01.143.993.2-423.000",,"022-7213406",,,"TRUE","TRUE",
"res_partner_3080","MEGA, PD","SUPP263",,,,,,,,,"TRUE","TRUE",
"res_partner_3090","MEGAFUNINDO","SUPP264","Ps. Cikapundung",,,,,,,,"TRUE","TRUE",
"res_partner_3100","MEGARIA, PD","SUPP265","Jl. Kalipah Apo No. 17 Bandung",,"022-4232900",,,"022-4264562",,,"TRUE","TRUE",
"res_partner_3110","MEGASETIA AGUNG KIMIA, PT","SUPP266","Jl. Paradise Timur Raya F-21/58 Jakarta Timur",,"021-6451037","01.744.272.4-046.000",,"021-6452306","hendra.suhara@megasetia.com",,"TRUE","TRUE",
"res_partner_3120","MEGASETIA AGUNG KIMIA, PT","SUPP266 USD","Jl. Paradise Timur Raya F-21/58 Jakarta Timur",,,,,,,,"TRUE","TRUE",
"res_partner_3130","MEKAR BARU","SUPP267","Jl. Banceuy No. 121 Bandung",,,,,,,,"TRUE","TRUE",
"res_partner_3140","MEKAR JAYA, UD","SUPP268","Jl. Mataram I No. 156",,,,,,,,"TRUE","TRUE",
"res_partner_3150","MEKAR PRATAMA","SUPP269","Jl. Sudirman",,,,,,,,"TRUE","TRUE",
"res_partner_3160","MEKAR PUTRA BAN","SUPP270","Jl. Dr. Cipto No. 5",,,,,,,,"TRUE","TRUE",
"res_partner_3170","MENJANGAN SAKTI, PT","SUPP271","Jl. Rasuna Said Kav. B-34 Kuningan Jakarta Selatan",,"021-46824074","01.301.277.8-062.000",,"021-5264943","ferry.gunardi@mensa.co.id",,"TRUE","TRUE",
"res_partner_3180","MENJANGAN SAKTI, PT","SUPP271 USD","Jl. Rasuna Said Kav. B-34 Kuningan Jakarta Selatan",,,"01.301.277.8-062.000",,,,,"TRUE","TRUE",
"res_partner_3190","MENTARI, PD","SUPP272","JL. Banceuy No. 96",,,,,,,,"TRUE","TRUE",
"res_partner_3200","MERCK TBK, PT","SUPP273","Jl. T.B. Simatupang No. 8 Pasar Rebo Jakarta",,"021-28565600","01.002.148.3-054.000",,"021-28565603",,,"TRUE","TRUE",
"res_partner_3210","MEYTIV, PT","SUPP274","Ruko Sektor IV RF-28 BSD",,,,,,,,"TRUE","TRUE",
"res_partner_3220","MITRA AC","SUPP275","Jl. Trs Pasir Koja No. 261",,,,,,,,"TRUE","TRUE",
"res_partner_3230","MITRA CHEMINDO UTAMA, PT","SUPP276","Jl. Gading Utama Barat No. 11 A",,,,,,,,"TRUE","TRUE",
"res_partner_3240","MITRA PACK, PT","SUPP277","Jl. P. Jayakarta 135 C 12-15 Jakarta",,"021-6240171","01.969.856.2-073.000",,"021-6258978",,,"TRUE","TRUE",
"res_partner_3250","MITRA PACK PT","SUPP277 USD","Jl. PAngeran",,,,,,,,"TRUE","TRUE",
"res_partner_3260","MITRA SELARAS ABADI, CV","SUPP278","JL. RAYA CILEBUT TIMUR NO. 77 KEL.CILEBUT TIMUR, KEC. SUKARAJA,Bogor-JAWA BARAT",,,"31.201.709.8-403.000",,,,,"TRUE","TRUE",
"res_partner_3270","MIURA INDONESIA, PT","SUPP279","Jl. HR.Rasuna Said Kav. 62",,,,,,,,"TRUE","TRUE",
"res_partner_3280","MODULISA TEKNIK","SUPP280","Jl. Sarijati 1 No. 5 Bandung",,"022-7531046",,,"022-7801995",,,"TRUE","TRUE",
"res_partner_3290","MUGI, PT","SUPP281","Jl. H. Kurdi No.88 Moh. Toha Bandung",,"022-5206233","01.308.570.9-062.000",,"022-5206233",,,"TRUE","TRUE",
"res_partner_3300","MULTI ASRI PUSAKA SEJATI, PT","SUPP282","Jl. Darmo Permai Selatan V No. 47",,,"01.822.788.4-618.000",,,,,"TRUE","TRUE",
"res_partner_3310","MULTI HASTA MAS, PT","SUPP283","Jl. Kasir No. 108 Desa Gempor Tangerang",,"021-5904046","01.244.184.6-402.000",,"021-5900615",,,"TRUE","TRUE",
"res_partner_3320","MULTI RANTAI SUKSES","SUPP284","Jl. ABC Pasar Cikapundung",,,,,,,,"TRUE","TRUE",
"res_partner_3330","MULTI SARANA TEKKINDO","SUPP285","Jl. Srimahi No. 10",,,,,,,,"TRUE","TRUE",
"res_partner_3340","MULTIBUANA CIPTA SEJAHTERA, PT","SUPP286","Jl. Wadaya Raya No. 67 Duren Sawit Jakarta timur",,"021-86601482/86604994","02.371.626.9-008.000",,"021-86601539","mcspt@indosat.net.id",,"TRUE","TRUE",
"res_partner_3350","MULTIBUANA CIPTA SEJAHTERA, PT","SUPP286 USD","Jl. Wadaya Raya No. 67 Duren Sawit Jakarta timur",,,,,,,,"TRUE","TRUE",
"res_partner_3360","MULTIREDJEKI KITA, PT","SUPP287","Jl. Kebayoran Lama No. 28",,,"01.301.288.5-059.000",,,,,"TRUE","TRUE",
"res_partner_3370","MUNCUL JAYA","SUPP288",,,,,,,,,"TRUE","TRUE",
"res_partner_3380","MUTIARA KITCHEN","SUPP289","Jl. Soekarno-Hatta 497",,,,,,,,"TRUE","TRUE",
"res_partner_3390","MUTIARA, CV","SUPP290","Komplek Industri,Jl.Kopo Jaya No.17 Bandung",,"022-5400083","01.778.157.6-441.000",,"022-5401177",,,"TRUE","TRUE",
"res_partner_3400","NARDA TITA, PT","SUPP291","Jl. Puri Kencana Kembangan Selatan Jakarta Pusat 11610",,"021-58303475","01.362.674.2-038.000",,"021-58303473",,,"TRUE","TRUE",
"res_partner_3410","NITA, PD","SUPP292","Jl. Trs. Kiara Condong (Dekat Samsat)",,,,,,,,"TRUE","TRUE",
"res_partner_3420","NUSA INTERNASIONAL, PT","SUPP293","Kompleks Ruko Singgasana Pradana No. 55",,,"02.366.520.1-441.000",,,,,"TRUE","TRUE",
"res_partner_3430","NUSA INTERNASIONAL, PT","SUPP293 USD","Kompleks Ruko Singgasana Pradana No. 55",,,,,,,,"TRUE","TRUE",
"res_partner_3440","NUSAPLAST, PT","SUPP294","Jl. Taman Kota Jaya Karta No. 12",,,"02.464.533.5-418.000",,,,,"TRUE","TRUE",
