id,diagnosis,name,description,description_1,exclusion_f,pre_existing_f,standard_fee,standard_treatment_day,diagnosis_map,poly,last_opr,allowed_f,last_update
diagnosis1472,D03.1,"Melanoma in situ of eyelid, including canthus","Melanoma in situ of eyelid, including canthus",,0,0,0,0,04031,,,1,
diagnosis1473,D03.2,Melanoma in situ of ear and external auricular canal,Melanoma in situ of ear and external auricular canal,,0,0,0,0,04032,,,1,
diagnosis1474,D03.3,Melanoma in situ of other and unspecified parts of face,Melanoma in situ of other and unspecified parts of face,,0,0,0,0,04033,,,1,
diagnosis1475,D03.4,Melanoma in situ of scalp and neck,Melanoma in situ of scalp and neck,,0,0,0,0,04034,,,1,
diagnosis1476,D03.5,Melanoma in situ of trunk,Melanoma in situ of trunk,,0,0,0,0,04035,,,1,
diagnosis1477,D03.6,"Melanoma in situ of upper limb, including shoulder","Melanoma in situ of upper limb, including shoulder",,0,0,0,0,04036,,,1,
diagnosis1478,D03.7,"Melanoma in situ of lower limb, including hip","Melanoma in situ of lower limb, including hip",,0,0,0,0,04037,,,1,
diagnosis1479,D03.8,Melanoma in situ of other sites,Melanoma in situ of other sites,,0,0,0,0,04038,,,1,
diagnosis1480,D03.9,"Melanoma in situ, unspecified","Melanoma in situ, unspecified",,0,0,0,0,04039,,,1,
diagnosis1481,D04,CARCINOMA IN SITU OF SKIN,CARCINOMA IN SITU OF SKIN,,0,0,,,0404,,,1,
diagnosis1482,D04.0,Skin of lip,Skin of lip,,0,0,0,0,04040,,,1,
diagnosis1483,D04.1,"Skin of eyelid, including canthus","Skin of eyelid, including canthus",,0,0,0,0,04041,,,1,
diagnosis1484,D04.2,Skin of ear and external auricular canal,Skin of ear and external auricular canal,,0,0,0,0,04042,,,1,
diagnosis1485,D04.3,Skin of other and unspecified parts of face,Skin of other and unspecified parts of face,,0,0,0,0,04043,,,1,
diagnosis1486,D04.4,Skin of scalp and neck,Skin of scalp and neck,,0,0,0,0,04044,,,1,
diagnosis1487,D04.5,Skin of trunk,Skin of trunk,,0,0,0,0,04045,,,1,
diagnosis1488,D04.6,"Skin of upper limb, including shoulder","Skin of upper limb, including shoulder",,0,0,0,0,04046,,,1,
diagnosis1489,D04.7,"Skin of lower limb, including hip","Skin of lower limb, including hip",,0,0,0,0,04047,,,1,
diagnosis1490,D04.8,Skin of other sites,Skin of other sites,,0,0,0,0,04048,,,1,
diagnosis1491,D04.9,"Skin, unspecified","Skin, unspecified",,0,0,0,0,04049,,,1,
diagnosis1492,D05,CARCINOMA IN SITU OF BREAST,CARCINOMA IN SITU OF BREAST,,0,0,,,0405,,,1,
diagnosis1493,D05.0,Lobular carcinoma in situ,Lobular carcinoma in situ,,0,0,0,0,04050,,,1,
diagnosis1494,D05.1,Intraductal carcinoma in situ,Intraductal carcinoma in situ,,0,0,0,0,04051,,,1,
diagnosis1495,D05.7,Other carcinoma in situ of breast,Other carcinoma in situ of breast,,0,0,0,0,04057,,,1,
diagnosis1496,D05.9,"Carcinoma in situ of breast, unspecified","Carcinoma in situ of breast, unspecified",,0,0,0,0,04059,,,1,
diagnosis1497,D06,CARCINOMA IN SITU OF CERVIC UTERI,CARCINOMA IN SITU OF CERVIC UTERI,,0,0,,,0406,,,1,
diagnosis1498,D06.0,Endocervix,Endocervix,,0,0,0,0,04060,,,1,
diagnosis1499,D06.1,Exocervix,Exocervix,,0,0,0,0,04061,,,1,
diagnosis1500,D06.7,Other parts of cervix,Other parts of cervix,,0,0,0,0,04067,,,1,
diagnosis1501,D06.9,"Cervix, unspecified","Cervix, unspecified",,0,0,0,0,04069,,,1,
diagnosis1502,D07,Carcinoma in situ of other and unspecified genital organs,Carcinoma in situ of other and unspecified genital organs,,0,0,0,0,0407,,,1,
diagnosis1503,D07.0,Endometrium,Endometrium,,0,0,0,0,04070,,,1,
diagnosis1504,D07.1,Vulva,Vulva,,0,0,0,0,04071,,,1,
diagnosis1505,D07.2,Vagina,Vagina,,0,0,0,0,04072,,,1,
diagnosis1506,D07.3,Other and unspecified female genital organs,Other and unspecified female genital organs,,0,0,0,0,04073,,,1,
diagnosis1507,D07.4,Penis,Penis,,0,0,0,0,04074,,,1,
diagnosis1508,D07.5,Prostate,Prostate,,0,0,0,0,04075,,,1,
diagnosis1509,D07.6,Other and unspecified male genital organs,Other and unspecified male genital organs,,0,0,0,0,04076,,,1,
diagnosis1510,D09,Carcinoma in situ of other and unspecified sites,Carcinoma in situ of other and unspecified sites,,0,0,0,0,0409,,,1,
diagnosis1511,D09.0,Bladder,Bladder,,0,0,0,0,04090,,,1,
diagnosis1512,D09.1,Other and unspecified urinary organs,Other and unspecified urinary organs,,0,0,0,0,04091,,,1,
diagnosis1513,D09.2,Eye,Eye,,0,0,0,0,04092,,,1,
diagnosis1514,D09.3,Thyroid and other endocrine glands,Thyroid and other endocrine glands,,0,0,0,0,04093,,,1,
diagnosis1515,D09.7,Carcinoma in situ of other specified sites,Carcinoma in situ of other specified sites,,0,0,0,0,04097,,,1,
diagnosis1516,D09.9,"Carcinoma in situ, unspecified","Carcinoma in situ, unspecified",,0,0,0,0,04099,,,1,
diagnosis1517,D10,BENIGN NEOPLASM OF MOUTH AND PHARYNX,BENIGN NEOPLASM OF MOUTH AND PHARYNX,,0,0,,,0410,,,1,
diagnosis1518,D10.0,Lip,Lip,,0,0,0,0,04100,,,1,
diagnosis1519,D10.1,Tongue,Tongue,,0,0,0,0,04101,,,1,
diagnosis1520,D10.2,Floor of mouth,Floor of mouth,,0,0,0,0,04102,,,1,
diagnosis1521,D10.3,Other and unspecified parts of mouth,Other and unspecified parts of mouth,,0,0,0,0,04103,,,1,
diagnosis1522,D10.4,Tonsil,Tonsil,,0,0,0,0,04104,,,1,
diagnosis1523,D10.5,Other parts of oropharynx,Other parts of oropharynx,,0,0,0,0,04105,,,1,
diagnosis1524,D10.6,Nasopharynx,Nasopharynx,,0,0,0,0,04106,,,1,
diagnosis1525,D10.7,Hypopharynx,Hypopharynx,,0,0,0,0,04107,,,1,
diagnosis1526,D10.9,"Pharynx, unspecified","Pharynx, unspecified",,0,0,0,0,04109,,,1,
diagnosis1527,D11,BENIGN NEOPLASM OF MAJOR SALIVARY GLANDS,BENIGN NEOPLASM OF MAJOR SALIVARY GLANDS,,0,0,,,0411,,,1,
diagnosis1528,D11.0,Parotid gland,Parotid gland,,0,0,0,0,04110,,,1,
diagnosis1529,D11.7,Other major salivary glands,Other major salivary glands,,0,0,0,0,04117,,,1,
diagnosis1530,D11.9,"Major salivary gland, unspecified","Major salivary gland, unspecified",,0,0,0,0,04119,,,1,
diagnosis1531,D12,BENIGN NEOPLASM OF COLON- RECTUM- ANUS AND ANAL CANAL,BENIGN NEOPLASM OF COLON- RECTUM- ANUS AND ANAL CANAL,,0,0,,,0412,,,1,
diagnosis1532,D12.0,Caecum,Caecum,,0,0,0,0,04120,,,1,
diagnosis1533,D12.1,Appendix,Appendix,,0,0,0,0,04121,,,1,
diagnosis1534,D12.2,Ascending colon,Ascending colon,,0,0,0,0,04122,,,1,
diagnosis1535,D12.3,Transverse colon,Transverse colon,,0,0,0,0,04123,,,1,
diagnosis1536,D12.4,Descending colon,Descending colon,,0,0,0,0,04124,,,1,
diagnosis1537,D12.5,Sigmoid colon,Sigmoid colon,,0,0,0,0,04125,,,1,
diagnosis1538,D12.6,"Colon, unspecified","Colon, unspecified",,0,0,0,0,04126,,,1,
diagnosis1539,D12.7,Rectosigmoid junction,Rectosigmoid junction,,0,0,0,0,04127,,,1,
diagnosis1540,D12.8,Rectum,Rectum,,0,0,0,0,04128,,,1,
diagnosis1541,D12.9,Anus and anal canal,Anus and anal canal,,0,0,0,0,04129,,,1,
diagnosis1542,D13,BENIGN NEOPLASM OF OTHER AND ILL-DEFINED PARST OF DIGESTIVE SYSTEM,BENIGN NEOPLASM OF OTHER AND ILL-DEFINED PARST OF DIGESTIVE SYSTEM,,0,0,,,0413,,,1,
diagnosis1543,D13.0,Oesophagus,Oesophagus,,0,0,0,0,04130,,,1,
diagnosis1544,D13.1,Stomach,Stomach,,0,0,0,0,04131,,,1,
diagnosis1545,D13.2,Duodenum,Duodenum,,0,0,0,0,04132,,,1,
diagnosis1546,D13.3,Other and unspecified parts of small intestine,Other and unspecified parts of small intestine,,0,0,0,0,04133,,,1,
diagnosis1547,D13.4,Liver,Liver,,0,0,0,0,04134,,,1,
diagnosis1548,D13.5,Extrahepatic bile ducts,Extrahepatic bile ducts,,0,0,0,0,04135,,,1,
diagnosis1549,D13.6,Pancreas,Pancreas,,0,0,0,0,04136,,,1,
diagnosis1550,D13.7,Endocrine pancreas,Endocrine pancreas,,0,0,0,0,04137,,,1,
diagnosis1551,D13.9,Ill-defined sites within the digestive system,Ill-defined sites within the digestive system,,0,0,0,0,04139,,,1,
diagnosis1552,D14,Benign neoplasm of middle ear and respiratory system,Benign neoplasm of middle ear and respiratory system,,0,0,,,0414,,,1,
diagnosis1553,D14.0,"Middle ear, nasal cavity and accessory sinuses","Middle ear, nasal cavity and accessory sinuses",,0,0,0,0,04140,,,1,
diagnosis1554,D14.1,Larynx,Larynx,,0,0,0,0,04141,,,1,
diagnosis1555,D14.2,Trachea,Trachea,,0,0,0,0,04142,,,1,
diagnosis1556,D14.3,Bronchus and lung,Bronchus and lung,,0,0,0,0,04143,,,1,
diagnosis1557,D14.4,"Respiratory system, unspecified","Respiratory system, unspecified",,0,0,0,0,04144,,,1,
diagnosis1558,D15,BENIGN NEOPLASM OF OTHER AND UNSPECIFIED INTRATHORACIC ORGANS,BENIGN NEOPLASM OF OTHER AND UNSPECIFIED INTRATHORACIC ORGANS,,0,0,,,0415,,,1,
diagnosis1559,D15.0,Thymus,Thymus,,0,0,0,0,04150,,,1,
diagnosis1560,D15.1,Heart,Heart,,0,0,0,0,04151,,,1,
diagnosis1561,D15.2,Mediastinum,Mediastinum,,0,0,0,0,04152,,,1,
diagnosis1562,D15.7,Other specified intrathoracic organs,Other specified intrathoracic organs,,0,0,0,0,04157,,,1,
diagnosis1563,D15.9,"Intrathoracic organ, unspecified","Intrathoracic organ, unspecified",,0,0,0,0,04159,,,1,
diagnosis1564,D16,BENIGN NEOPLASM OF BONE AND ARTICULAR CARTILAGE,BENIGN NEOPLASM OF BONE AND ARTICULAR CARTILAGE,,0,0,,,0416,,,1,
diagnosis1565,D16.0,Scapula and long bones of upper limb,Scapula and long bones of upper limb,,0,0,0,0,04160,,,1,
diagnosis1566,D16.1,Short bones of upper limb,Short bones of upper limb,,0,0,0,0,04161,,,1,
diagnosis1567,D16.2,Long bones of lower limb,Long bones of lower limb,,0,0,0,0,04162,,,1,
diagnosis1568,D16.3,Short bones of lower limb,Short bones of lower limb,,0,0,0,0,04163,,,1,
diagnosis1569,D16.4,Bones of skull and face,Bones of skull and face,,0,0,0,0,04164,,,1,
diagnosis1570,D16.5,Lower jaw bone,Lower jaw bone,,0,0,0,0,04165,,,1,
diagnosis1571,D16.6,Vertebral column,Vertebral column,,0,0,0,0,04166,,,1,
diagnosis1572,D16.7,"Ribs, sternum and clavicle","Ribs, sternum and clavicle",,0,0,0,0,04167,,,1,
diagnosis1573,D16.8,"Pelvic bones, sacrum and coccyx","Pelvic bones, sacrum and coccyx",,0,0,0,0,04168,,,1,
diagnosis1574,D16.9,"Bone and articular cartilage, unspecified","Bone and articular cartilage, unspecified",,0,0,0,0,04169,,,1,
diagnosis1575,D17,Benign lipomatous neoplasm,Benign lipomatous neoplasm,,0,0,0,0,0417,,,1,
diagnosis1576,D17.0,"Benign lipomatous neoplasm of skin and subcutaneous tissue of head,face and neck","Benign lipomatous neoplasm of skin and subcutaneous tissue of head,face and neck",,0,0,0,0,04170,,,1,
diagnosis1577,D17.1,Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk,Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk,,0,0,0,0,04171,,,1,
diagnosis1578,D17.2,Benign lipomatous neoplasm of skin and subcutaneous tissue of limbs,Benign lipomatous neoplasm of skin and subcutaneous tissue of limbs,,0,0,0,0,04172,,,1,
diagnosis1579,D17.3,Benign lipomatous neoplasm of skin and subcutaneous tissue of otherand unspecified sites,Benign lipomatous neoplasm of skin and subcutaneous tissue of otherand unspecified sites,,0,0,0,0,04173,,,1,
diagnosis1580,D17.4,Benign lipomatous neoplasm of intrathoracic organs,Benign lipomatous neoplasm of intrathoracic organs,,0,0,0,0,04174,,,1,
diagnosis1581,D17.5,Benign lipomatous neoplasm of intra-abdominal organs,Benign lipomatous neoplasm of intra-abdominal organs,,0,0,0,0,04175,,,1,
diagnosis1582,D17.6,Benign lipomatous neoplasm of spermatic cord,Benign lipomatous neoplasm of spermatic cord,,0,0,0,0,04176,,,1,
diagnosis1583,D17.7,Benign lipomatous neoplasm of other sites,Benign lipomatous neoplasm of other sites,,0,0,0,0,04177,,,1,
diagnosis1584,D17.9,"Benign lipomatous neoplasm, unspecified","Benign lipomatous neoplasm, unspecified",,0,0,0,0,04179,,,1,
diagnosis1585,D18,HAEMANGIOMA AND LYMPHANGIOMA- ANY SITE,HAEMANGIOMA AND LYMPHANGIOMA- ANY SITE,,0,0,,,0418,,,1,
diagnosis1586,D18.0,"Haemangioma, any site","Haemangioma, any site",,0,0,0,0,04180,,,1,
diagnosis1587,D18.1,"Lymphangioma, any site","Lymphangioma, any site",,0,0,0,0,04181,,,1,
diagnosis1588,D19,Benign neoplasm of mesothelial tissue,Benign neoplasm of mesothelial tissue,,0,0,0,0,0419,,,1,
diagnosis1589,D19.0,Mesothelial tissue of pleura,Mesothelial tissue of pleura,,0,0,0,0,04190,,,1,
diagnosis1590,D19.1,Mesothelial tissue of peritoneum,Mesothelial tissue of peritoneum,,0,0,0,0,04191,,,1,
diagnosis1591,D19.7,Mesothelial tissue of other sites,Mesothelial tissue of other sites,,0,0,0,0,04197,,,1,
diagnosis1592,D19.9,"Mesothelial tissue, unspecified","Mesothelial tissue, unspecified",,0,0,0,0,04199,,,1,
diagnosis1593,D20,Benign neoplasm of soft tissue of retroperitoneum and peritoneum,Benign neoplasm of soft tissue of retroperitoneum and peritoneum,,0,0,0,0,0420,,,1,
diagnosis1594,D20.0,Retroperitoneum,Retroperitoneum,,0,0,0,0,04200,,,1,
diagnosis1595,D20.1,Peritoneum,Peritoneum,,0,0,0,0,04201,,,1,
diagnosis1596,D21,Other benign neoplasms of connective and other soft tissue,Other benign neoplasms of connective and other soft tissue,,0,0,0,0,0421,,,1,
diagnosis1597,D21.0,"Connective and other soft tissue of head, face and neck","Connective and other soft tissue of head, face and neck",,0,0,0,0,04210,,,1,
diagnosis1598,D21.1,"Connective and other soft tissue of upper limb, including shoulder","Connective and other soft tissue of upper limb, including shoulder",,0,0,0,0,04211,,,1,
diagnosis1599,D21.2,"Connective and other soft tissue of lower limb, including hip","Connective and other soft tissue of lower limb, including hip",,0,0,0,0,04212,,,1,
diagnosis1600,D21.3,Connective and other soft tissue of thorax Axilla,Connective and other soft tissue of thorax Axilla,,0,0,0,0,04213,,,1,
diagnosis1601,D21.4,Connective and other soft tissue of abdomen,Connective and other soft tissue of abdomen,,0,0,0,0,04214,,,1,
diagnosis1602,D21.5,Connective and other soft tissue of pelvis,Connective and other soft tissue of pelvis,,0,0,0,0,04215,,,1,
diagnosis1603,D21.6,"Connective and other soft tissue of trunk, unspecified","Connective and other soft tissue of trunk, unspecified",,0,0,0,0,04216,,,1,
diagnosis1604,D21.9,"Connective and other soft tissue, unspecified","Connective and other soft tissue, unspecified",,0,0,0,0,04219,,,1,
diagnosis1605,D22,MELANOCYTIC NAEVI,MELANOCYTIC NAEVI,,0,0,,,0422,,,1,
diagnosis1606,D22.0,Melanocytic naevi of lip,Melanocytic naevi of lip,,0,0,0,0,04220,,,1,
diagnosis1607,D22.1,"Melanocytic naevi of eyelid, including canthus","Melanocytic naevi of eyelid, including canthus",,0,0,0,0,04221,,,1,
diagnosis1608,D22.2,Melanocytic naevi of ear and external auricular canal,Melanocytic naevi of ear and external auricular canal,,0,0,0,0,04222,,,1,
diagnosis1609,D22.3,Melanocytic naevi of other and unspecified parts of face,Melanocytic naevi of other and unspecified parts of face,,0,0,0,0,04223,,,1,
diagnosis1610,D22.4,Melanocytic naevi of scalp and neck,Melanocytic naevi of scalp and neck,,0,0,0,0,04224,,,1,
diagnosis1611,D22.5,Melanocytic naevi of trunk,Melanocytic naevi of trunk,,0,0,0,0,04225,,,1,
diagnosis1612,D22.6,"Melanocytic naevi of upper limb, including shoulder","Melanocytic naevi of upper limb, including shoulder",,0,0,0,0,04226,,,1,
diagnosis1613,D22.7,"Melanocytic naevi of lower limb, including hip","Melanocytic naevi of lower limb, including hip",,0,0,0,0,04227,,,1,
diagnosis1614,D22.9,"Melanocytic naevi, unspecified","Melanocytic naevi, unspecified",,0,0,0,0,04229,,,1,
diagnosis1615,D23,OTHER BENIGN NEOPLASMA OF SKIN,OTHER BENIGN NEOPLASMA OF SKIN,,0,0,,,0423,,,1,
diagnosis1616,D23.0,Skin of lip,Skin of lip,,0,0,0,0,04230,,,1,
diagnosis1617,D23.1,"Skin of eyelid, including canthus","Skin of eyelid, including canthus",,0,0,0,0,04231,,,1,
diagnosis1618,D23.2,Skin of ear and external auricular canal,Skin of ear and external auricular canal,,0,0,0,0,04232,,,1,
diagnosis1619,D23.3,Skin of other and unspecified parts of face,Skin of other and unspecified parts of face,,0,0,0,0,04233,,,1,
diagnosis1620,D23.4,Skin of scalp and neck,Skin of scalp and neck,,0,0,0,0,04234,,,1,
diagnosis1621,D23.5,Skin of trunk,Skin of trunk,,0,0,0,0,04235,,,1,
diagnosis1622,D23.6,"Skin of upper limb, including shoulder","Skin of upper limb, including shoulder",,0,0,0,0,04236,,,1,
diagnosis1623,D23.7,"Skin of lower limb, including hip","Skin of lower limb, including hip",,0,0,0,0,04237,,,1,
diagnosis1624,D23.9,"Skin, unspecified","Skin, unspecified",,0,0,0,0,04239,,,1,
diagnosis1625,D24,BENIGN NEOPLASM OF BREAST ,BENIGN NEOPLASM OF BREAST ,,0,0,,,0424,,,1,
diagnosis1626,D25,LEIOMYOMA OF UTERUS,LEIOMYOMA OF UTERUS,,0,0,,,0425,,,1,
diagnosis1627,D25.0,Submucous leiomyoma of uterus,Submucous leiomyoma of uterus,,0,0,0,0,04250,,,1,
diagnosis1628,D25.1,Intramural leiomyoma of uterus,Intramural leiomyoma of uterus,,0,0,0,0,04251,,,1,
diagnosis1629,D25.2,Subserosal leiomyoma of uterus,Subserosal leiomyoma of uterus,,0,0,0,0,04252,,,1,
diagnosis1630,D25.9,"Leiomyoma of uterus, unspecified","Leiomyoma of uterus, unspecified",,0,0,0,0,04259,,,1,
diagnosis1631,D26,OTHER BENIGN NEOPLASM OF UTERUS,OTHER BENIGN NEOPLASM OF UTERUS,,0,0,,,0426,,,1,
diagnosis1632,D26.0,Cervix uteri,Cervix uteri,,0,0,0,0,04260,,,1,
diagnosis1633,D26.1,Corpus uteri,Corpus uteri,,0,0,0,0,04261,,,1,
diagnosis1634,D26.7,Other parts of uterus,Other parts of uterus,,0,0,0,0,04267,,,1,
diagnosis1635,D26.9,"Uterus, unspecified","Uterus, unspecified",,0,0,0,0,04269,,,1,
diagnosis1636,D27,BENIGN NEOPLASM OF OVARY,BENIGN NEOPLASM OF OVARY,,0,0,,,0427,,,1,
diagnosis1637,D28,BENIGN NEOPLASM OF OTHER AND UNSPECIFIED FEMALE GENITAL ORGANS,BENIGN NEOPLASM OF OTHER AND UNSPECIFIED FEMALE GENITAL ORGANS,,0,0,,,0428,,,1,
diagnosis1638,D28.0,Vulva,Vulva,,0,0,0,0,04280,,,1,
diagnosis1639,D28.1,Vagina,Vagina,,0,0,0,0,04281,,,1,
diagnosis1640,D28.2,Uterine tubes and ligaments,Uterine tubes and ligaments,,0,0,0,0,04282,,,1,
diagnosis1641,D28.7,Other specified female genital organs,Other specified female genital organs,,0,0,0,0,04287,,,1,
diagnosis1642,D28.9,"Female genital organ, unspecified","Female genital organ, unspecified",,0,0,0,0,04289,,,1,
diagnosis1643,D29,BENIGN NEOPLASM OF MALE GENITAL ORGANS,BENIGN NEOPLASM OF MALE GENITAL ORGANS,,0,0,,,0429,,,1,
diagnosis1644,D29.0,Penis,Penis,,0,0,0,0,04290,,,1,
diagnosis1645,D29.1,Prostate,Prostate,,0,0,0,0,04291,,,1,
diagnosis1646,D29.2,Testis,Testis,,0,0,0,0,04292,,,1,
diagnosis1647,D29.3,Epididymis,Epididymis,,0,0,0,0,04293,,,1,
diagnosis1648,D29.4,Scrotum,Scrotum,,0,0,0,0,04294,,,1,
diagnosis1649,D29.7,Other male genital organs,Other male genital organs,,0,0,0,0,04297,,,1,
diagnosis1650,D29.9,"Male genital organ, unspecified","Male genital organ, unspecified",,0,0,0,0,04299,,,1,
diagnosis1651,D30,BENIGN NEOPLASM OF URINARY ORGANS,BENIGN NEOPLASM OF URINARY ORGANS,,0,0,,,0430,,,1,
diagnosis1652,D30.0,Kidney,Kidney,,0,0,0,0,04300,,,1,
diagnosis1653,D30.1,Renal pelvis,Renal pelvis,,0,0,0,0,04301,,,1,
diagnosis1654,D30.2,Ureter,Ureter,,0,0,0,0,04302,,,1,
diagnosis1655,D30.3,Bladder,Bladder,,0,0,0,0,04303,,,1,
diagnosis1656,D30.4,Urethra,Urethra,,0,0,0,0,04304,,,1,
diagnosis1657,D30.7,Other urinary organs,Other urinary organs,,0,0,0,0,04307,,,1,
diagnosis1658,D30.9,"Urinary organ, unspecified","Urinary organ, unspecified",,0,0,0,0,04309,,,1,
diagnosis1659,D31,BENIGN NEOPLASM OF EYE AND ADNEXA,BENIGN NEOPLASM OF EYE AND ADNEXA,,0,0,,,0431,,,1,
diagnosis1660,D31.0,Conjunctiva,Conjunctiva,,0,0,0,0,04310,,,1,
diagnosis1661,D31.1,Cornea,Cornea,,0,0,0,0,04311,,,1,
diagnosis1662,D31.2,Retina,Retina,,0,0,0,0,04312,,,1,
diagnosis1663,D31.3,Choroid,Choroid,,0,0,0,0,04313,,,1,
diagnosis1664,D31.4,Ciliary body,Ciliary body,,0,0,0,0,04314,,,1,
diagnosis1665,D31.5,Lacrimal gland and duct,Lacrimal gland and duct,,0,0,0,0,04315,,,1,
diagnosis1666,D31.6,"Orbit, unspecified","Orbit, unspecified",,0,0,0,0,04316,,,1,
diagnosis1667,D31.9,"Eye, unspecified","Eye, unspecified",,0,0,0,0,04319,,,1,
diagnosis1668,D32,BENIGN NEOPLASM OF MENINGES,BENIGN NEOPLASM OF MENINGES,,0,0,,,0432,,,1,
diagnosis1669,D32.0,Cerebral meninges,Cerebral meninges,,0,0,0,0,04320,,,1,
diagnosis1670,D32.1,Spinal meninges,Spinal meninges,,0,0,0,0,04321,,,1,
diagnosis1671,D32.9,"Meninges, unspecified","Meninges, unspecified",,0,0,0,0,04329,,,1,
diagnosis1672,D33,BENIGN NEOPLASM OF BRAIN AND OTHER PARTS OF CENTRAL NERVOUS SYSTEM,BENIGN NEOPLASM OF BRAIN AND OTHER PARTS OF CENTRAL NERVOUS SYSTEM,,0,0,,,0433,,,1,
diagnosis1673,D33.0,"Brain, supratentorial","Brain, supratentorial",,0,0,0,0,04330,,,1,
diagnosis1674,D33.1,"Brain, infratentorial","Brain, infratentorial",,0,0,0,0,04331,,,1,
diagnosis1675,D33.2,"Brain, unspecified","Brain, unspecified",,0,0,0,0,04332,,,1,
diagnosis1676,D33.3,Cranial nerves,Cranial nerves,,0,0,0,0,04333,,,1,
diagnosis1677,D33.4,Spinal cord,Spinal cord,,0,0,0,0,04334,,,1,
diagnosis1678,D33.7,Other specified parts of central nervous system,Other specified parts of central nervous system,,0,0,0,0,04337,,,1,
diagnosis1679,D33.9,"Central nervous system, unspecified","Central nervous system, unspecified",,0,0,0,0,04339,,,1,
diagnosis1680,D34,BENIGN NEOPLASM OF THYROID GLAND,BENIGN NEOPLASM OF THYROID GLAND,,0,0,,,0434,,,1,
diagnosis1681,D35,BENIGN NEOPLASM OF OTHER AND UNSPECIFIED ENDOCRINE GLANDS,BENIGN NEOPLASM OF OTHER AND UNSPECIFIED ENDOCRINE GLANDS,,0,0,,,0435,,,1,
diagnosis1682,D35.0,Adrenal gland,Adrenal gland,,0,0,0,0,04350,,,1,
diagnosis1683,D35.1,Parathyroid gland,Parathyroid gland,,0,0,0,0,04351,,,1,
diagnosis1684,D35.2,Pituitary gland,Pituitary gland,,0,0,0,0,04352,,,1,
diagnosis1685,D35.3,Craniopharyngeal duct,Craniopharyngeal duct,,0,0,0,0,04353,,,1,
diagnosis1686,D35.4,Pineal gland,Pineal gland,,0,0,0,0,04354,,,1,
diagnosis1687,D35.5,Carotid body,Carotid body,,0,0,0,0,04355,,,1,
diagnosis1688,D35.6,Aortic body and other paraganglia,Aortic body and other paraganglia,,0,0,0,0,04356,,,1,
diagnosis1689,D35.7,Other specified endocrine glands,Other specified endocrine glands,,0,0,0,0,04357,,,1,
diagnosis1690,D35.8,Pluriglandular involvement,Pluriglandular involvement,,0,0,0,0,04358,,,1,
diagnosis1691,D35.9,"Endocrine gland, unspecified","Endocrine gland, unspecified",,0,0,0,0,04359,,,1,
diagnosis1692,D36,BENIGN NEOPLASM OF OTHER OF OTHER AND UNSPECIFIED SITES,BENIGN NEOPLASM OF OTHER OF OTHER AND UNSPECIFIED SITES,,0,0,,,0436,,,1,
diagnosis1693,D36.0,Lymph nodes,Lymph nodes,,0,0,0,0,04360,,,1,
diagnosis1694,D36.1,Peripheral nerves and autonomic nervous system,Peripheral nerves and autonomic nervous system,,0,0,0,0,04361,,,1,
diagnosis1695,D36.7,Other specified sites,Other specified sites,,0,0,0,0,04367,,,1,
diagnosis1696,D36.9,Benign neoplasm of unspecified site,Benign neoplasm of unspecified site,,0,0,0,0,04369,,,1,
diagnosis1697,D37,Neoplasm of uncertain or unknown behaviour of oral cavity anddigestive organs,Neoplasm of uncertain or unknown behaviour of oral cavity anddigestive organs,,0,0,0,0,0437,,,1,
diagnosis1698,D37.0,"Lip, oral cavity and pharynx","Lip, oral cavity and pharynx",,0,0,0,0,04370,,,1,
diagnosis1699,D37.1,Stomach,Stomach,,0,0,0,0,04371,,,1,
diagnosis1700,D37.2,Small intestine,Small intestine,,0,0,0,0,04372,,,1,
diagnosis1701,D37.3,Appendix,Appendix,,0,0,0,0,04373,,,1,
diagnosis1702,D37.4,Colon,Colon,,0,0,0,0,04374,,,1,
diagnosis1703,D37.5,Rectum,Rectum,,0,0,0,0,04375,,,1,
diagnosis1704,D37.6,"Liver, gallbladder and bile ducts","Liver, gallbladder and bile ducts",,0,0,0,0,04376,,,1,
diagnosis1705,D37.7,Other digestive organs,Other digestive organs,,0,0,0,0,04377,,,1,
diagnosis1706,D37.9,"Digestive organ, unspecified","Digestive organ, unspecified",,0,0,0,0,04379,,,1,
diagnosis1707,D38,Neoplasm of uncertain or unknown behaviour of middle ear andrespiratory and intrathoracic organs,Neoplasm of uncertain or unknown behaviour of middle ear andrespiratory and intrathoracic organs,,0,0,0,0,0438,,,1,
diagnosis1708,D38.0,Larynx,Larynx,,0,0,0,0,04380,,,1,
diagnosis1709,D38.1,"Trachea, bronchus and lung","Trachea, bronchus and lung",,0,0,0,0,04381,,,1,
diagnosis1710,D38.2,Pleura,Pleura,,0,0,0,0,04382,,,1,
diagnosis1711,D38.3,Mediastinum,Mediastinum,,0,0,0,0,04383,,,1,
diagnosis1712,D38.4,Thymus,Thymus,,0,0,0,0,04384,,,1,
diagnosis1713,D38.5,Other respiratory organs,Other respiratory organs,,0,0,0,0,04385,,,1,
diagnosis1714,D38.6,"Respiratory organ, unspecified","Respiratory organ, unspecified",,0,0,0,0,04386,,,1,
